Date,Close,Open,High,Low,Vol.,Change %
2024-11-19,15.6625,15.1675,16.185,12.7325,,3.26%
2024-11-21,15.99,15.6625,16.78,14.8375,,2.09%
2024-11-22,16.0975,15.99,18.67,12.7525,,0.67%
2024-11-25,15.3025,16.0975,16.865,13.63,,-4.94%
2024-11-26,15.305,15.3025,16.26,13.8725,,0.02%
2024-11-27,14.625,15.305,15.305,13.245,,-4.44%
2024-11-28,15.205,14.625,15.5625,14.27,,3.97%
2024-11-29,14.425,15.205,15.4575,14.3325,,-5.13%
2024-12-02,14.7,14.425,15.08,13.3125,,1.91%
2024-12-03,14.3725,14.7,14.89,14.235,,-2.23%
2024-12-04,14.45,14.3725,14.7975,14.11,,0.54%
2024-12-05,14.5275,14.45,15.705,14.055,,0.54%
2024-12-06,14.14,14.5275,15.0225,14.045,,-2.67%
2024-12-09,14.1075,14.14,14.635,13.45,,-0.23%
2024-12-10,13.7775,14.1075,14.6725,13.6975,,-2.34%
2024-12-11,13.2675,13.7775,14.11,13.175,,-3.70%
2024-12-12,13.19,13.2675,13.4,12.9475,,-0.58%
2024-12-13,13.0525,13.19,14.72,12.47,,-1.04%
2024-12-16,14.02,13.0525,14.505,13.0525,,7.41%
2024-12-17,14.485,14.02,14.975,13.18,,3.32%
2024-12-18,14.3725,14.485,15.2425,14.27,,-0.78%
2024-12-19,14.51,14.3725,15.435,13.87,,0.96%
2024-12-20,15.0725,14.51,15.5525,14.3975,,3.88%
2024-12-23,13.52,15.0725,16.8825,13.4175,,-10.30%
2024-12-24,13.1775,13.52,15.03,12.975,,-2.53%
2024-12-26,14.035,13.1775,14.3875,13.0825,,6.51%
2024-12-27,13.2375,14.035,14.2375,13.035,,-5.68%
2024-12-30,13.9725,13.2375,14.37,13.2375,,5.55%
2024-12-31,14.4475,13.9725,14.6375,13.9725,,3.40%
2025-01-01,14.5075,14.4475,14.835,14.305,,0.42%
2025-01-02,13.7375,14.5075,14.8025,13.63,,-5.31%
2025-01-03,13.54,13.7375,13.9775,13.225,,-1.44%
2025-01-06,15.65,13.54,15.92,13.54,,15.58%
2025-01-07,14.66,15.65,15.65,14.345,,-6.33%
2025-01-08,14.465,14.66,14.88,14.095,,-1.33%
2025-01-09,14.6575,14.465,14.885,13.7475,,1.33%
2025-01-10,14.915,14.6575,15.515,14.6575,,1.76%
2025-01-13,15.9975,14.915,16.185,14.45,,7.26%
2025-01-14,15.47,15.9975,15.9975,15.115,,-3.30%
2025-01-15,15.2575,15.47,15.6625,15.1975,,-1.37%
2025-01-16,15.465,15.2575,15.5725,13.9575,,1.36%
2025-01-17,15.7475,15.465,16.3825,14.0525,,1.83%
2025-01-20,16.415,15.7475,17.02,15.1825,,4.24%
2025-01-21,17.055,16.415,17.445,15.2025,,3.90%
2025-01-22,16.7725,17.055,17.295,15.905,,-1.66%
2025-01-23,16.695,16.7725,17.0825,15.6675,,-0.46%
2025-01-24,16.745,16.695,17.31,16.1175,,0.30%
2025-01-27,18.1325,16.745,18.5225,16.745,,8.29%
2025-01-28,18.195,18.1325,18.5025,16.8275,,0.34%
2025-01-29,18.64,18.195,19.01,17.2875,,2.45%
2025-01-30,17.39,18.64,18.985,17.2175,,-6.71%
2025-01-31,16.2475,17.39,17.9425,16.1075,,-6.57%
2025-02-01,14.095,16.2475,16.58,14.0125,,-13.25%
2025-02-03,14.3525,14.095,15.1125,14.095,,1.83%
2025-02-04,14.0175,14.3525,15.1325,13.665,,-2.33%
2025-02-05,14.0825,14.0175,14.2975,13.4975,,0.46%
2025-02-06,14.175,14.0825,14.64,13.15,,0.66%
2025-02-07,13.685,14.175,14.505,13.55,,-3.46%
2025-02-10,14.445,13.685,14.7175,13.685,,5.55%
2025-02-11,14.87,14.445,15.4325,13.845,,2.94%
2025-02-12,14.895,14.87,15.6225,14.6075,,0.17%
2025-02-13,14.955,14.895,15.465,12.195,,0.40%
2025-02-14,15.015,14.955,15.6775,14.3575,,0.40%
2025-02-17,15.7225,15.015,16.31,14.4975,,4.71%
