direction,entry_type,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
long,RETEST,2025-05-14 10:25:00+05:30,2025-05-14 10:55:00+05:30,24744.65,24710.55800797602,24710.55800797602,24710.55800797602,False,-34.09,2.5,61.2,STOP_LOSS,30,-34.092,0.3,0.279545,0.0006,-10.53,-9.9138,22.6641,-0.8424,0.0,-10.7562,-10.7562,-699.15,50.0,-749.15,2.8002,65
short,CROSSOVER_BREAKOUT,2025-05-15 09:40:00+05:30,2025-05-15 10:30:00+05:30,24546.9,24571.794432632018,24571.794432632018,24571.794432632018,False,-24.89,52.45,80.35,STOP_LOSS,50,24.8944,-0.3,-0.285063,0.0006,-10.53,-7.301,12.0848,-1.404,0.0,-8.705,-8.705,-565.83,50.0,-615.83,-4.6583,65
short,RETEST,2025-05-20 10:10:00+05:30,2025-05-20 10:35:00+05:30,24899.4,24920.26796955756,24920.26796955756,24920.26796955756,False,-20.87,20.4,32.6,STOP_LOSS,25,20.868,-0.3,-0.287479,0.0006,-10.53,-6.1428,8.4917,-0.702,0.0,-6.8448,-6.8448,-444.91,50.0,-494.91,-2.3345,65
short,CROSSOVER_BREAKOUT,2025-06-03 09:30:00+05:30,2025-06-03 09:35:00+05:30,24627.05,24660.020749048806,24660.020749048806,24660.020749048806,False,-32.97,4.85,64.65,STOP_LOSS,5,32.9707,-0.3,-0.280218,0.0006,-10.53,-9.5977,21.1979,-0.1404,0.0,-9.7381,-9.7381,-632.98,50.0,-682.98,-0.4678,65
short,RETEST,2025-06-03 09:35:00+05:30,2025-06-03 10:10:00+05:30,24674.15,24655.24635682142,24709.674649175635,24655.24635682142,True,18.9,55.0,11.35,TRAIL_SL,35,-18.9036,-0.3,-0.311342,0.0006,-10.53,5.7676,6.9683,-0.9828,0.0,4.7848,4.7848,311.01,50.0,261.01,-3.2653,65
short,RETEST,2025-06-03 10:10:00+05:30,2025-06-03 10:15:00+05:30,24661.7,24687.502842939502,24687.502842939502,24687.502842939502,False,-25.8,5.9,43.8,STOP_LOSS,5,25.8028,-0.3,-0.284518,0.0006,-10.53,-7.5611,12.9828,-0.1404,0.0,-7.7015,-7.7015,-500.6,50.0,-550.6,-0.4678,65
short,RETEST,2025-06-06 09:55:00+05:30,2025-06-06 10:05:00+05:30,24712.3,24702.131623791927,24728.49368816143,24702.131623791927,True,10.17,40.85,104.8,TRAIL_SL,10,-10.1684,-0.3,-0.306101,0.0006,-10.53,3.0784,2.0162,-0.2808,0.0,2.7976,2.7976,181.85,50.0,131.85,-0.9351,65
long,CROSSOVER_BREAKOUT,2025-06-06 10:20:00+05:30,2025-06-06 12:00:00+05:30,24788.85,25012.677789859656,24737.442641298916,25012.677789859656,True,223.83,240.65,2.55,TRAIL_SL,100,223.8278,0.3,0.434297,0.0006,-10.53,80.675,976.9282,-2.808,0.0,77.867,77.867,5061.36,50.0,5011.36,9.274,65
long,RETEST,2025-06-10 10:20:00+05:30,2025-06-10 10:50:00+05:30,25145.25,25120.43066924069,25120.43066924069,25120.43066924069,False,-24.82,8.55,40.0,STOP_LOSS,30,-24.8193,0.3,0.285108,0.0006,-10.53,-7.2795,12.012,-0.8424,0.0,-8.1219,-8.1219,-527.92,50.0,-577.92,2.8002,65
short,CROSSOVER_BREAKOUT,2025-06-12 09:55:00+05:30,2025-06-12 11:15:00+05:30,25093.25,25058.268204903983,25113.144845827945,25058.268204903983,True,34.98,55.7,22.5,TRAIL_SL,80,-34.9818,-0.3,-0.320989,0.0006,-10.53,10.8249,23.8627,-2.2464,0.0,8.5785,8.5785,557.61,50.0,507.61,-7.4328,65
