direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
short,A,2025-04-01 12:20:00+05:30,2025-04-01 12:30:00+05:30,23207.6,23230.039694216648,23230.039694216648,23230.039694216648,False,-22.44,0.15,37.05,STOP_LOSS,5962,5964
short,A,2025-04-03 10:00:00+05:30,2025-04-03 10:10:00+05:30,23250.1,23274.716839549757,23274.716839549757,23274.716839549757,False,-24.62,3.6,32.35,STOP_LOSS,6084,6086
short,B,2025-04-04 09:40:00+05:30,2025-04-04 10:15:00+05:30,23062.25,22966.278826488677,23095.936135100485,22966.278826488677,True,95.97,126.1,12.0,TRAIL_SL,6155,6162
short,B,2025-04-04 10:20:00+05:30,2025-04-04 10:35:00+05:30,22923.15,22954.673731536594,22954.673731536594,22954.673731536594,False,-31.52,1.55,42.8,STOP_LOSS,6163,6166
short,B,2025-04-07 09:35:00+05:30,2025-04-07 10:25:00+05:30,22036.05,21975.90697932124,22152.431734000485,21975.90697932124,True,60.14,137.75,18.3,TRAIL_SL,6229,6239
short,A,2025-04-07 10:25:00+05:30,2025-04-07 12:35:00+05:30,22005.15,21843.026929216743,22067.368330584944,21843.026929216743,True,162.12,208.25,77.55,TRAIL_SL,6239,6265
short,A,2025-04-07 12:40:00+05:30,2025-04-07 13:20:00+05:30,21896.1,21851.49534826052,21929.994283542383,21851.49534826052,True,44.6,81.75,47.15,TRAIL_SL,6266,6274
short,B,2025-04-09 09:35:00+05:30,2025-04-09 09:40:00+05:30,22391.35,22433.45020069474,22433.45020069474,22433.45020069474,False,-42.1,17.3,76.5,STOP_LOSS,6379,6380
short,A,2025-04-09 09:40:00+05:30,2025-04-09 10:00:00+05:30,22467.85,22423.14418045697,22513.71684060211,22423.14418045697,True,44.71,86.55,0.85,TRAIL_SL,6380,6384
short,A,2025-04-09 10:00:00+05:30,2025-04-09 15:00:00+05:30,22430.3,22394.9,22473.435362161716,22473.435362161716,False,35.4,77.05,25.15,SOFT_EOD_EXIT,6384,6444
long,B,2025-04-11 09:35:00+05:30,2025-04-11 10:35:00+05:30,22844.4,22778.064447382978,22778.064447382978,22778.064447382978,False,-66.34,30.05,108.35,STOP_LOSS,6454,6466
long,A,2025-04-11 11:50:00+05:30,2025-04-11 12:30:00+05:30,22862.0,22893.607080653164,22831.51770932856,22893.607080653164,True,31.61,61.9,0.35,TRAIL_SL,6481,6489
long,A,2025-04-11 12:30:00+05:30,2025-04-11 13:30:00+05:30,22890.8,22866.198838539658,22866.198838539658,22866.198838539658,False,-24.6,25.3,44.7,STOP_LOSS,6489,6501
long,B,2025-04-15 09:40:00+05:30,2025-04-15 15:00:00+05:30,23310.95,23317.0,23239.180914248256,23239.180914248256,False,6.05,39.7,19.3,SOFT_EOD_EXIT,6530,6594
long,A,2025-04-16 10:10:00+05:30,2025-04-16 10:15:00+05:30,23355.8,23332.193241520657,23332.193241520657,23332.193241520657,False,-23.61,3.15,47.05,STOP_LOSS,6611,6612
long,B,2025-04-17 11:30:00+05:30,2025-04-17 12:35:00+05:30,23538.3,23687.854785780844,23500.32011719616,23687.854785780844,True,149.55,177.6,1.6,TRAIL_SL,6702,6715
long,B,2025-04-17 12:40:00+05:30,2025-04-17 14:10:00+05:30,23712.35,23840.204935431608,23670.491500417444,23840.204935431608,True,127.85,159.25,9.05,TRAIL_SL,6716,6734
long,B,2025-04-21 09:35:00+05:30,2025-04-21 11:30:00+05:30,24021.85,24113.401866865934,23967.735657136796,24113.401866865934,True,91.55,110.9,39.65,TRAIL_SL,6754,6777
long,A,2025-04-21 11:40:00+05:30,2025-04-21 12:40:00+05:30,24108.0,24173.85603049148,24085.335621632275,24173.85603049148,True,65.86,77.55,1.75,TRAIL_SL,6779,6791
long,A,2025-04-21 13:10:00+05:30,2025-04-21 13:30:00+05:30,24173.75,24154.366353634174,24154.366353634174,24154.366353634174,False,-19.38,1.8,28.65,STOP_LOSS,6797,6801
long,B,2025-04-23 09:45:00+05:30,2025-04-23 10:00:00+05:30,24340.45,24291.134349024545,24291.134349024545,24291.134349024545,False,-49.32,0.2,64.9,STOP_LOSS,6906,6909
short,B,2025-04-25 09:55:00+05:30,2025-04-25 10:10:00+05:30,24080.3,23993.8607746674,24113.77996346259,23993.8607746674,True,86.44,130.15,0.35,TRAIL_SL,7058,7061
short,B,2025-04-25 10:10:00+05:30,2025-04-25 10:35:00+05:30,24033.65,23963.913693825292,24076.711616215503,23963.913693825292,True,69.74,125.05,10.0,TRAIL_SL,7061,7066
short,A,2025-04-25 11:35:00+05:30,2025-04-25 12:35:00+05:30,23922.25,23951.710996244503,23951.710996244503,23951.710996244503,False,-29.46,74.4,62.55,STOP_LOSS,7078,7090
long,A,2025-04-28 13:00:00+05:30,2025-04-28 14:20:00+05:30,24330.9,24306.777680000403,24306.777680000403,24306.777680000403,False,-24.12,22.8,26.2,STOP_LOSS,7170,7186
long,B,2025-05-02 09:35:00+05:30,2025-05-02 10:50:00+05:30,24538.85,24474.202974829204,24474.202974829204,24474.202974829204,False,-64.65,50.3,112.9,STOP_LOSS,7354,7369
short,B,2025-05-02 11:30:00+05:30,2025-05-02 11:55:00+05:30,24324.5,24353.210379207267,24353.210379207267,24353.210379207267,False,-28.71,0.0,43.0,STOP_LOSS,7377,7382
long,B,2025-05-05 09:50:00+05:30,2025-05-05 11:45:00+05:30,24493.75,24445.41667418807,24445.41667418807,24445.41667418807,False,-48.33,32.65,64.55,STOP_LOSS,7432,7455
short,B,2025-05-07 10:05:00+05:30,2025-05-07 10:20:00+05:30,24304.95,24338.907140912557,24338.907140912557,24338.907140912557,False,-33.96,19.95,48.5,STOP_LOSS,7585,7588
short,A,2025-05-07 10:20:00+05:30,2025-05-07 11:15:00+05:30,24348.35,24380.450752173296,24380.450752173296,24380.450752173296,False,-32.1,23.6,51.85,STOP_LOSS,7588,7599
short,B,2025-05-09 09:50:00+05:30,2025-05-09 11:25:00+05:30,24032.3,24076.87740568756,24076.87740568756,24076.87740568756,False,-44.58,83.1,61.7,STOP_LOSS,7732,7751
long,B,2025-05-12 10:15:00+05:30,2025-05-12 12:45:00+05:30,24691.05,24788.012445816155,24638.072337041376,24788.012445816155,True,96.96,115.25,21.95,TRAIL_SL,7812,7842
short,B,2025-05-13 09:45:00+05:30,2025-05-13 10:05:00+05:30,24692.55,24742.315346278574,24742.315346278574,24742.315346278574,False,-49.77,13.6,83.65,STOP_LOSS,7881,7885
short,A,2025-05-13 10:10:00+05:30,2025-05-13 10:40:00+05:30,24770.85,24696.423056225933,24818.87874076156,24696.423056225933,True,74.43,135.95,26.75,TRAIL_SL,7886,7892
short,B,2025-05-13 12:50:00+05:30,2025-05-13 15:00:00+05:30,24614.15,24574.85,24644.425036632827,24644.425036632827,False,39.3,53.45,34.75,SOFT_EOD_EXIT,7918,7944
long,A,2025-05-14 10:25:00+05:30,2025-05-14 10:55:00+05:30,24744.65,24710.55800797602,24710.55800797602,24710.55800797602,False,-34.09,2.5,61.2,STOP_LOSS,7964,7970
