datetime,Open,High,Low,Close,Volume
24-07-2025 14:45,25074.75,25077.05,25047.65,25049.05,0
24-07-2025 15:00,25049.45,25071.05,25046.9,25069,0
24-07-2025 15:15,25068.8,25069.6,25046.3,25051.9,0
25-07-2025 09:15,25010.35,25010.35,24907.45,24990.85,0
25-07-2025 09:30,24991.55,24993.85,24924.6,24926.35,0
25-07-2025 09:45,24926.6,24946.85,24912.7,24928.55,0
25-07-2025 10:00,24928.85,24940.75,24903.15,24903.15,0
25-07-2025 10:15,24903.2,24903.3,24863.45,24870.65,0
25-07-2025 10:30,24870.45,24875.2,24844.45,24873.5,0
25-07-2025 10:45,24872.35,24880.2,24859.7,24870.25,0
25-07-2025 11:00,24870.6,24891.6,24861.35,24868.5,0
25-07-2025 11:15,24868.9,24889.45,24854.8,24883.05,0
25-07-2025 11:30,24882.75,24916.85,24855.85,24865.45,0
25-07-2025 11:45,24865,24865.5,24830.85,24846.55,0
25-07-2025 12:00,24846.4,24848.25,24833.1,24844.15,0
25-07-2025 12:15,24844.4,24846.05,24811.65,24828.35,0
25-07-2025 12:30,24828.15,24886.6,24827.8,24864.7,0
25-07-2025 12:45,24865.25,24875.6,24852.35,24855.9,0
25-07-2025 13:00,24855.6,24868.5,24847.35,24857.55,0
25-07-2025 13:15,24857.55,24872.85,24847.85,24856.35,0
25-07-2025 13:30,24856.3,24864.4,24806.35,24863.3,0
25-07-2025 13:45,24863.35,24880.05,24857.05,24874.4,0
25-07-2025 14:00,24873.35,24879.85,24835.9,24839.35,0
25-07-2025 14:15,24839.15,24854.35,24813.85,24835.8,0
25-07-2025 14:30,24831.8,24848.3,24825.25,24832.15,0
25-07-2025 14:45,24832.3,24836.9,24818.15,24833.95,0
25-07-2025 15:00,24833.7,24849,24808.4,24844.4,0
25-07-2025 15:15,24844.4,24845.4,24823.05,24832.2,0
28-07-2025 09:15,24782.45,24799.8,24732.7,24785.3,0
28-07-2025 09:30,24784.05,24854.7,24784.05,24785.05,0
28-07-2025 09:45,24783.2,24827,24781.15,24802.85,0
28-07-2025 10:00,24802.25,24844.25,24802.25,24844.25,0
28-07-2025 10:15,24844.1,24889.2,24844.1,24870.9,0
28-07-2025 10:30,24871.9,24885.4,24814.75,24819.7,0
28-07-2025 10:45,24820.4,24828.15,24775.4,24827.2,0
28-07-2025 11:00,24826.85,24844.65,24797.05,24807.55,0
28-07-2025 11:15,24807.4,24822.8,24803.95,24814.45,0
28-07-2025 11:30,24815.3,24824.6,24779.45,24800.5,0
