entry_type,direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
pullback,short,2026-03-12 09:50:00+05:30,2026-03-12 09:55:00+05:30,23656.75,23691.3586473652,23691.3586473652,23691.3586473652,False,-34.61,13.0,39.55,STOP_LOSS,5,34.6086,-0.2,-0.179235,0.0006,-5.53,-6.5983,23.3563,-0.0737,0.0,-6.6721,-6.6721,-433.68,50.0,-483.68,-0.3685,65
breakout,short,2026-03-13 09:30:00+05:30,2026-03-13 10:25:00+05:30,23453.900390625,23334.076060447736,23493.965366493365,23334.076060447736,True,119.82,147.4,20.55,TRAIL_SL,55,-119.8243,-0.2,-0.271895,0.0006,-5.53,27.8415,279.9785,-0.8111,0.0,27.0304,27.0304,1756.98,50.0,1706.98,-4.031,65
pullback,short,2026-03-13 10:25:00+05:30,2026-03-13 11:30:00+05:30,23353.44921875,23382.337835016297,23382.337835016297,23382.337835016297,False,-28.89,44.15,46.85,STOP_LOSS,65,28.8886,-0.2,-0.182667,0.0006,-5.53,-5.5524,16.2738,-0.9585,0.0,-6.5109,-6.5109,-423.21,50.0,-473.21,-4.7587,65
breakout,short,2026-03-13 12:20:00+05:30,2026-03-13 13:25:00+05:30,23269.55078125,23161.00674561523,23291.57751642834,23161.00674561523,True,108.54,131.4,21.7,TRAIL_SL,65,-108.544,-0.2,-0.265126,0.0006,-5.53,24.8899,229.7452,-0.9585,0.0,23.9314,23.9314,1555.54,50.0,1505.54,-4.7587,65
breakout,short,2026-03-16 10:45:00+05:30,2026-03-16 11:05:00+05:30,23035.599609375,23066.5956550409,23066.5956550409,23066.5956550409,False,-31.0,80.05,43.4,STOP_LOSS,20,30.996,-0.2,-0.181402,0.0006,-5.53,-5.9398,18.7347,-0.2949,0.0,-6.2347,-6.2347,-405.26,50.0,-455.26,-1.4714,65
pullback,long,2026-03-17 10:35:00+05:30,2026-03-17 11:20:00+05:30,23489.94921875,23437.82876824368,23437.82876824368,23437.82876824368,False,-52.12,43.95,78.8,STOP_LOSS,45,-52.1205,0.2,0.168728,0.0006,-5.53,-9.6906,52.9726,-0.6636,0.0,-10.3542,-10.3542,-673.02,50.0,-723.02,3.3016,65
breakout,long,2026-03-17 13:25:00+05:30,2026-03-17 14:15:00+05:30,23541.75,23580.541881552967,23506.278442900235,23580.541881552967,True,38.79,67.15,37.6,TRAIL_SL,50,38.7919,0.2,0.223275,0.0006,-5.53,8.1647,29.3438,-0.7373,0.0,7.4273,7.4273,482.78,50.0,432.78,3.6665,65
pullback,long,2026-03-17 14:15:00+05:30,2026-03-17 15:00:00+05:30,23561.80078125,23634.228623387597,23518.382855108477,23634.228623387597,True,72.43,94.4,34.95,TRAIL_SL,45,72.4278,0.2,0.243457,0.0006,-5.53,15.9019,102.293,-0.6636,0.0,15.2383,15.2383,990.49,50.0,940.49,3.3016,65
breakout,long,2026-03-18 09:30:00+05:30,2026-03-18 10:00:00+05:30,23725.30078125,23663.319873144083,23663.319873144083,23663.319873144083,False,-61.98,29.05,74.7,STOP_LOSS,30,-61.9809,0.2,0.162811,0.0006,-5.53,-11.3589,74.9118,-0.4424,0.0,-11.8013,-11.8013,-767.09,50.0,-817.09,2.2047,65
breakout,long,2026-03-18 10:25:00+05:30,2026-03-18 11:55:00+05:30,23722.94921875,23807.089116151863,23678.751830618778,23807.089116151863,True,84.14,112.15,9.5,TRAIL_SL,90,84.1399,0.2,0.250484,0.0006,-5.53,18.7395,138.0507,-1.3272,0.0,17.4123,17.4123,1131.8,50.0,1081.8,6.5712,65
pullback,long,2026-03-18 11:55:00+05:30,2026-03-18 12:05:00+05:30,23806.30078125,23780.56722841323,23780.56722841323,23780.56722841323,False,-25.73,4.5,28.55,STOP_LOSS,10,-25.7336,0.2,0.18456,0.0006,-5.53,-4.9679,12.9132,-0.1475,0.0,-5.1154,-5.1154,-332.5,50.0,-382.5,0.7365,65
breakout,short,2026-03-19 09:30:00+05:30,2026-03-19 10:20:00+05:30,23301.0,23243.815888668418,23359.099615657975,23243.815888668418,True,57.18,96.95,5.8,TRAIL_SL,50,-57.1841,-0.2,-0.23431,0.0006,-5.53,12.3197,63.7654,-0.7373,0.0,11.5824,11.5824,752.86,50.0,702.86,-3.6665,65
pullback,short,2026-03-19 10:25:00+05:30,2026-03-19 10:35:00+05:30,23272.400390625,23304.099197208125,23304.099197208125,23304.099197208125,False,-31.7,0.7,45.4,STOP_LOSS,10,31.6988,-0.2,-0.180981,0.0006,-5.53,-6.0685,19.5939,-0.1475,0.0,-6.2159,-6.2159,-404.04,50.0,-454.04,-0.7365,65
