direction,entry_time,exit_time,entry_price,exit_price,stop_loss_at_exit,pnl,exit_reason
short,2021-01-15 09:55:00+05:30,2021-01-15 11:30:00+05:30,14541.0,14461.72053519658,14461.72053519658,79.28,TRAIL_SL
short,2021-01-15 14:35:00+05:30,2021-01-15 15:15:00+05:30,14444.0,14441.8,14467.822881380582,2.2,EOD_EXIT
short,2021-01-18 10:45:00+05:30,2021-01-18 11:15:00+05:30,14314.8,14335.043057608596,14335.043057608596,-20.24,STOP_LOSS
short,2021-01-18 12:05:00+05:30,2021-01-18 12:15:00+05:30,14288.75,14304.932982803304,14304.932982803304,-16.18,STOP_LOSS
long,2021-01-19 12:15:00+05:30,2021-01-19 15:00:00+05:30,14461.65,14532.775728901823,14532.775728901823,71.13,TRAIL_SL
long,2021-01-20 11:40:00+05:30,2021-01-20 12:20:00+05:30,14609.6,14598.427363549592,14598.427363549592,-11.17,STOP_LOSS
long,2021-01-21 09:55:00+05:30,2021-01-21 14:40:00+05:30,14708.9,14689.60273450114,14689.60273450114,-19.3,STOP_LOSS
short,2021-01-22 09:55:00+05:30,2021-01-22 11:25:00+05:30,14592.0,14472.713098860362,14472.713098860362,119.29,TRAIL_SL
short,2021-01-22 11:30:00+05:30,2021-01-22 11:55:00+05:30,14504.75,14527.218520596673,14527.218520596673,-22.47,STOP_LOSS
short,2021-01-22 12:00:00+05:30,2021-01-22 13:15:00+05:30,14512.55,14416.328860975686,14416.328860975686,96.22,TRAIL_SL
short,2021-01-25 10:00:00+05:30,2021-01-25 10:15:00+05:30,14365.6,14403.184437076545,14403.184437076545,-37.58,STOP_LOSS
short,2021-01-25 12:05:00+05:30,2021-01-25 12:30:00+05:30,14355.9,14373.986821117203,14373.986821117203,-18.09,STOP_LOSS
short,2021-01-27 10:05:00+05:30,2021-01-27 12:55:00+05:30,14154.15,14075.35590057495,14075.35590057495,78.79,TRAIL_SL
short,2021-01-27 13:15:00+05:30,2021-01-27 14:45:00+05:30,14072.2,13948.659246897945,13948.659246897945,123.54,TRAIL_SL
short,2021-01-28 10:00:00+05:30,2021-01-28 12:15:00+05:30,13869.5,13821.44507605797,13821.44507605797,48.05,TRAIL_SL
short,2021-01-28 12:15:00+05:30,2021-01-28 13:05:00+05:30,13831.15,13738.91525781651,13738.91525781651,92.23,TRAIL_SL
