direction,entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
short,2023-09-27 10:10:00+05:30,2023-09-27 11:00:00+05:30,19562.25,19591.6,2.05,-29.35,ST_TRAIL
long,2023-09-27 11:05:00+05:30,2023-09-27 15:15:00+05:30,19607.1,19714.2,118.6,107.1,EOD_EXIT
short,2023-09-28 09:40:00+05:30,2023-09-28 10:05:00+05:30,19686.95,19727.3,6.15,-40.35,ST_TRAIL
short,2023-09-28 10:45:00+05:30,2023-09-28 15:15:00+05:30,19702.2,19535.7,202.95,166.5,EOD_EXIT
long,2023-09-29 11:20:00+05:30,2023-09-29 14:45:00+05:30,19616.05,19690.75,107.1,74.7,ST_TRAIL
short,2023-10-03 10:00:00+05:30,2023-10-03 10:25:00+05:30,19485.95,19527.8,0.0,-41.85,ST_TRAIL
short,2023-10-03 14:10:00+05:30,2023-10-03 15:15:00+05:30,19518.85,19530.25,0.0,-11.4,EOD_EXIT
short,2023-10-04 10:15:00+05:30,2023-10-04 10:30:00+05:30,19392.6,19425.6,0.0,-33.0,ST_TRAIL
short,2023-10-04 13:05:00+05:30,2023-10-04 13:15:00+05:30,19342.3,19367.2,0.0,-24.9,ST_TRAIL
long,2023-10-04 14:30:00+05:30,2023-10-04 15:15:00+05:30,19384.5,19444.95,60.45,60.45,EOD_EXIT
long,2023-10-05 09:45:00+05:30,2023-10-05 10:25:00+05:30,19537.55,19497.8,0.0,-39.75,ST_TRAIL
long,2023-10-05 10:55:00+05:30,2023-10-05 12:15:00+05:30,19561.35,19533.65,12.3,-27.7,ST_TRAIL
long,2023-10-05 13:35:00+05:30,2023-10-05 15:15:00+05:30,19555.9,19548.7,7.1,-7.2,EOD_EXIT
long,2023-10-06 10:45:00+05:30,2023-10-06 11:20:00+05:30,19636.8,19609.8,14.65,-27.0,ST_TRAIL
long,2023-10-06 13:20:00+05:30,2023-10-06 15:15:00+05:30,19651.85,19648.25,21.75,-3.6,EOD_EXIT
long,2023-10-10 09:50:00+05:30,2023-10-10 15:00:00+05:30,19595.7,19692.6,118.9,96.9,ST_TRAIL
long,2023-10-11 10:35:00+05:30,2023-10-11 12:15:00+05:30,19835.95,19796.5,0.2,-39.45,ST_TRAIL
long,2023-10-11 13:15:00+05:30,2023-10-11 15:15:00+05:30,19805.15,19804.85,20.55,-0.3,EOD_EXIT
short,2023-10-12 09:50:00+05:30,2023-10-12 10:40:00+05:30,19793.3,19813.5,13.4,-20.2,ST_TRAIL
short,2023-10-13 10:50:00+05:30,2023-10-13 12:20:00+05:30,19675.35,19704.0,0.0,-28.65,ST_TRAIL
long,2023-10-13 13:10:00+05:30,2023-10-13 14:45:00+05:30,19743.95,19768.15,54.9,24.2,ST_TRAIL
long,2023-10-16 10:40:00+05:30,2023-10-16 13:15:00+05:30,19764.95,19745.7,8.6,-19.25,ST_TRAIL
short,2023-10-17 14:05:00+05:30,2023-10-17 15:05:00+05:30,19798.5,19818.9,16.2,-20.4,ST_TRAIL
long,2023-10-18 10:10:00+05:30,2023-10-18 10:40:00+05:30,19832.7,19787.5,0.0,-45.2,ST_TRAIL
short,2023-10-18 11:10:00+05:30,2023-10-18 13:55:00+05:30,19724.9,19716.1,47.6,8.8,ST_TRAIL
