direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
long,A,2026-02-03 10:45:00+05:30,2026-02-03 11:45:00+05:30,25763.69921875,25833.25,25701.998120882403,25836.36971080035,True,69.55,99.45,17.0,94.7,TRAIL_SL,60,1H:00M,69.5508,0.2,0.255641,0.0008,-10.0,6.0,12.9,12.9,0.0,15.6516,0.0,145.1193,-1.6,0.0,14.0516,14.0516,1053.87,50.0,1003.87,7.8759
long,A,2026-02-03 11:45:00+05:30,2026-02-03 12:25:00+05:30,25833.25,25786.55078125,25795.00396871496,25795.00396871496,False,-46.7,18.6,52.4,14.6,STOP_LOSS,40,0H:40M,-46.6992,0.2,0.162641,0.0008,-10.0,6.0,12.9,12.9,0.0,-8.5547,0.0,65.4245,-1.0667,0.0,-9.6214,-9.6214,-721.61,50.0,-771.61,5.2776
short,C,2026-02-05 09:30:00+05:30,2026-02-05 12:55:00+05:30,25692.75,25640.80078125,25714.502181863496,25627.13423596345,True,51.95,88.65,14.3,77.7,TRAIL_SL,205,3H:25M,-51.9492,-0.2,-0.241559,0.0008,-10.0,6.0,12.17,12.17,0.0,11.3614,0.0,80.9616,-5.4667,0.0,5.8947,5.8947,442.1,50.0,392.1,-25.9831
short,C,2026-02-06 09:30:00+05:30,2026-02-06 11:20:00+05:30,25563.599609375,25593.0,25584.150833333482,25584.150833333482,False,-29.4,71.45,33.95,65.35,STOP_LOSS,110,1H:50M,29.4004,-0.2,-0.17648,0.0008,-10.0,6.0,11.94,11.94,0.0,-5.5689,0.0,25.9315,-2.9333,0.0,-8.5022,-8.5022,-637.67,50.0,-687.67,-14.26
long,C,2026-02-09 09:30:00+05:30,2026-02-09 11:30:00+05:30,25802.19921875,25848.400390625,25750.92507322366,25854.48805137175,True,46.2,67.85,20.65,62.4,TRAIL_SL,120,2H:00M,46.2012,0.2,0.236961,0.0008,-10.0,6.0,12.19,12.19,0.0,10.0087,0.0,64.0364,-3.2,0.0,6.8087,6.8087,510.65,50.0,460.65,15.5184
long,A,2026-02-09 11:30:00+05:30,2026-02-09 12:50:00+05:30,25848.400390625,25822.349609375,25829.894406407897,25829.894406407897,False,-26.05,18.15,26.75,11.6,STOP_LOSS,80,1H:20M,-26.0508,0.2,0.179159,0.0008,-10.0,6.0,12.19,12.19,0.0,-4.9658,0.0,20.3593,-2.1333,0.0,-7.0992,-7.0992,-532.44,50.0,-582.44,10.4483
long,C,2026-02-10 09:30:00+05:30,2026-02-10 13:55:00+05:30,25943.75,25910.849609375,25917.350136683508,25917.350136683508,False,-32.9,45.45,34.9,40.4,STOP_LOSS,265,4H:25M,-32.9004,0.2,0.17368,0.0008,-10.0,6.0,11.67,11.67,0.0,-6.1904,0.0,32.4731,-7.0667,0.0,-13.2571,-13.2571,-994.28,50.0,-1044.28,33.1372
long,A,2026-02-11 09:30:00+05:30,2026-02-11 10:00:00+05:30,25955.349609375,25915.80078125,25925.025139714548,25925.025139714548,False,-39.55,5.4,43.35,0.0,STOP_LOSS,30,0H:30M,-39.5488,0.2,0.168361,0.0008,-10.0,6.0,11.55,11.55,0.0,-7.3467,0.0,46.9233,-0.8,0.0,-8.1467,-8.1467,-611.0,50.0,-661.0,3.9685
long,C,2026-02-11 10:40:00+05:30,2026-02-11 11:05:00+05:30,25969.05078125,25942.55078125,25945.123495217198,25945.123495217198,False,-26.5,9.55,30.15,7.5,STOP_LOSS,25,0H:25M,-26.5,0.2,0.1788,0.0008,-10.0,6.0,11.55,11.55,0.0,-5.0472,0.0,21.0675,-0.6667,0.0,-5.7139,-5.7139,-428.54,50.0,-478.54,3.3114
short,C,2026-02-12 09:30:00+05:30,2026-02-12 09:50:00+05:30,25838.349609375,25860.400390625,25855.0970519778,25855.0970519778,False,-22.05,9.95,27.6,0.0,STOP_LOSS,20,0H:20M,22.0508,-0.2,-0.182359,0.0008,-10.0,6.0,11.73,11.73,0.0,-4.2351,0.0,14.5871,-0.5333,0.0,-4.7684,-4.7684,-357.63,50.0,-407.63,-2.6526
