direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,adx_tier,be_triggered,micro_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2025-06-30 14:35:00+05:30,2025-06-30 14:50:00+05:30,25491.9,25502.801819945154,25502.801819945154,25502.801819945154,2,False,False,-10.9,12.95,27.9,STOP_LOSS
long,2025-07-01 09:50:00+05:30,2025-07-01 10:10:00+05:30,25560.7,25534.122275729445,25534.122275729445,25534.122275729445,2,False,False,-26.58,12.05,30.2,STOP_LOSS
short,2025-07-02 11:20:00+05:30,2025-07-02 11:45:00+05:30,25486.1,25497.36431113398,25497.36431113398,25497.36431113398,2,False,False,-11.26,13.15,15.4,STOP_LOSS
short,2025-07-02 14:05:00+05:30,2025-07-02 14:55:00+05:30,25413.4,25426.04036855298,25426.04036855298,25426.04036855298,3,False,False,-12.64,34.65,17.6,STOP_LOSS
short,2025-07-10 09:45:00+05:30,2025-07-10 09:55:00+05:30,25453.5,25423.32086433558,25468.05099464131,25423.32086433558,2,True,True,30.18,43.2,0.6,TRAIL_SL
short,2025-07-10 11:10:00+05:30,2025-07-10 11:50:00+05:30,25397.0,25380.04524724193,25409.011498348034,25380.04524724193,3,True,False,16.95,33.3,2.7,TRAIL_SL
short,2025-07-14 10:05:00+05:30,2025-07-14 11:25:00+05:30,25106.65,25029.864174194623,25124.29067497612,25029.864174194623,2,True,True,76.79,86.9,20.4,TRAIL_SL
long,2025-07-16 14:30:00+05:30,2025-07-16 15:00:00+05:30,25227.7,25213.65,25210.822006901573,25210.822006901573,2,False,False,-14.05,11.5,14.8,EOD_KILL_LOSER
short,2025-07-18 11:00:00+05:30,2025-07-18 11:25:00+05:30,24953.45,24969.645525086562,24969.645525086562,24969.645525086562,3,False,False,-16.2,5.05,23.1,STOP_LOSS
short,2025-07-24 13:30:00+05:30,2025-07-24 13:40:00+05:30,25061.45,25073.080316931897,25073.080316931897,25073.080316931897,2,False,False,-11.63,9.95,19.65,STOP_LOSS
short,2025-07-25 11:00:00+05:30,2025-07-25 12:35:00+05:30,24875.65,24831.968825739852,24891.532891172974,24831.968825739852,3,True,False,43.68,64.0,41.2,TRAIL_SL
short,2025-07-28 09:45:00+05:30,2025-07-28 10:10:00+05:30,24812.75,24838.10888166041,24838.10888166041,24838.10888166041,2,False,False,-25.36,17.95,31.5,STOP_LOSS
short,2025-07-28 14:15:00+05:30,2025-07-28 14:35:00+05:30,24679.15,24695.159564703972,24695.159564703972,24695.159564703972,3,False,False,-16.01,8.95,17.85,STOP_LOSS
short,2025-07-29 10:55:00+05:30,2025-07-29 11:15:00+05:30,24645.25,24662.287591725715,24662.287591725715,24662.287591725715,3,False,False,-17.04,9.8,48.45,STOP_LOSS
short,2025-07-31 10:35:00+05:30,2025-07-31 10:45:00+05:30,24680.75,24698.461347954046,24698.461347954046,24698.461347954046,3,False,False,-17.71,3.8,42.2,STOP_LOSS
short,2025-08-01 12:05:00+05:30,2025-08-01 12:40:00+05:30,24670.6,24625.269175746653,24686.2463478011,24625.269175746653,2,True,True,45.33,59.55,27.1,TRAIL_SL
short,2025-08-05 10:05:00+05:30,2025-08-05 12:10:00+05:30,24633.65,24651.066461993807,24651.066461993807,24651.066461993807,3,False,False,-17.42,36.8,35.05,STOP_LOSS
short,2025-08-07 13:40:00+05:30,2025-08-07 14:00:00+05:30,24385.4,24402.16394402039,24402.16394402039,24402.16394402039,3,False,False,-16.76,15.35,19.5,STOP_LOSS
long,2025-08-12 10:10:00+05:30,2025-08-12 10:25:00+05:30,24662.35,24634.122578468116,24634.122578468116,24634.122578468116,3,False,False,-28.23,19.65,50.85,STOP_LOSS
long,2025-08-13 10:10:00+05:30,2025-08-13 12:35:00+05:30,24580.5,24609.555127818923,24551.657465591958,24609.555127818923,2,True,True,29.06,40.15,41.6,TRAIL_SL
