direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
long,B,2024-09-16 09:40:00+05:30,2024-09-16 10:35:00+05:30,25434.85,25407.628941243744,25407.628941243744,25407.628941243744,25516.513176268763,False,-27.22,10.85,35.0,STOP_LOSS,34697,34708,TP=25517 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-19 09:40:00+05:30,2024-09-19 09:50:00+05:30,25604.95,25557.049278655522,25557.049278655522,25557.049278655522,25748.65216403344,False,-47.9,7.0,71.65,STOP_LOSS,34922,34924,TP=25749 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-20 09:55:00+05:30,2024-09-20 12:30:00+05:30,25585.15,25692.2,25531.938291845814,25692.2,25744.78512446256,True,107.05,141.5,43.5,TRAIL_SL,35000,35031,TP=25745 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-20 12:45:00+05:30,2024-09-20 13:30:00+05:30,25803.45,25764.256095115456,25764.256095115456,25764.256095115456,25921.031714653633,False,-39.19,3.5,195.45,STOP_LOSS,35034,35043,TP=25921 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-26 14:35:00+05:30,2024-09-26 15:00:00+05:30,26177.2,26233.5,26144.239573616618,26178.2,26276.081279150152,True,56.3,73.7,9.9,EOD_EXIT,35356,35361,TP=26276 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-09-30 09:35:00+05:30,2024-09-30 10:05:00+05:30,26035.2,25998.375,26062.024806563026,25998.375,25626.95,False,36.83,73.65,0.0,STOP_LOSS,35446,35452,TP=25627 RR=15.22 space=423pts opp_str=70 no_align
short,B,2024-09-30 14:20:00+05:30,2024-09-30 14:50:00+05:30,25807.75,25822.701557410714,25822.701557410714,25822.701557410714,25626.95,False,-14.95,11.1,35.65,STOP_LOSS,35503,35509,TP=25627 RR=12.09 space=196pts opp_str=70 no_align
short,B,2024-10-03 09:55:00+05:30,2024-10-03 15:00:00+05:30,25575.5,25254.3,25608.597717324028,25278.85,25432.3,True,321.2,345.2,5.05,EOD_EXIT,35600,35661,TP=25432 RR=4.33 space=158pts opp_str=65 SUP@25612(str=64)
short,B,2024-10-07 14:25:00+05:30,2024-10-07 14:30:00+05:30,24721.9,24753.169985023138,24753.169985023138,24753.169985023138,24398.79,False,-31.27,0.0,56.95,STOP_LOSS,35804,35805,TP=24399 RR=10.33 space=338pts opp_str=63 no_align
short,B,2024-10-21 09:45:00+05:30,2024-10-21 10:00:00+05:30,24712.55,24745.521697734166,24745.521697734166,24745.521697734166,24351.61,False,-32.97,32.95,101.8,STOP_LOSS,36498,36501,TP=24352 RR=10.95 space=376pts opp_str=63 no_align
short,B,2024-10-23 09:35:00+05:30,2024-10-23 09:45:00+05:30,24411.15,24448.83326230736,24448.83326230736,24448.83326230736,24298.10021307793,False,-37.68,12.65,87.1,STOP_LOSS,36646,36648,TP=24298 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@24443(str=68)
short,B,2024-10-24 09:35:00+05:30,2024-10-24 09:55:00+05:30,24366.0,24392.180410467026,24392.180410467026,24392.180410467026,24287.458768598925,False,-26.18,24.8,47.2,STOP_LOSS,36721,36725,TP=24287 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-10-25 09:45:00+05:30,2024-10-25 11:15:00+05:30,24305.55,24189.7,24334.87531565048,24189.7,24217.574053048564,True,115.85,192.5,18.15,TRAIL_SL,36798,36816,TP=24218 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-10-25 11:30:00+05:30,2024-10-25 14:45:00+05:30,24132.65,24103.275,24159.675716280955,24103.275,24051.57285115714,False,29.38,58.75,31.75,STOP_LOSS,36819,36858,TP=24052 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-04 09:45:00+05:30,2024-11-04 09:55:00+05:30,24025.9,24059.199574768376,24059.199574768376,24059.199574768376,23926.00127569488,False,-33.3,8.55,38.4,STOP_LOSS,37173,37175,TP=23926 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-11-06 14:20:00+05:30,2024-11-06 14:35:00+05:30,24528.45,24503.730532645746,24503.730532645746,24503.730532645746,24639.5,False,-24.72,0.85,46.45,STOP_LOSS,37378,37381,TP=24640 RR=4.49 space=126pts opp_str=67 no_align
short,B,2024-11-11 14:15:00+05:30,2024-11-11 14:25:00+05:30,24092.35,24110.87968089604,24110.87968089604,24110.87968089604,23966.0,False,-18.53,11.75,48.1,STOP_LOSS,37602,37604,TP=23966 RR=6.82 space=141pts opp_str=68 SUP@24117(str=71)
short,B,2024-11-13 09:40:00+05:30,2024-11-13 09:50:00+05:30,23755.6,23732.125,23789.5451705484,23732.125,23653.76448835479,False,23.47,46.95,51.45,STOP_LOSS,37697,37699,TP=23654 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-13 10:00:00+05:30,2024-11-13 10:25:00+05:30,23742.0,23710.675,23779.66203636608,23710.675,23629.013890901755,False,31.33,62.65,7.6,STOP_LOSS,37701,37706,TP=23629 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-13 14:20:00+05:30,2024-11-13 14:50:00+05:30,23612.85,23579.175,23634.20214710859,23579.175,23548.79355867422,False,33.67,67.35,14.2,STOP_LOSS,37753,37759,TP=23549 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-18 09:35:00+05:30,2024-11-18 09:45:00+05:30,23395.05,23424.478295601217,23424.478295601217,23424.478295601217,23306.765113196347,False,-29.43,32.7,44.0,STOP_LOSS,37846,37848,TP=23307 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-21 09:35:00+05:30,2024-11-21 10:00:00+05:30,23283.0,23323.2476716966,23323.2476716966,23323.2476716966,23162.256984910196,False,-40.25,19.85,64.1,STOP_LOSS,37996,38001,TP=23162 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-11-22 12:05:00+05:30,2024-11-22 15:00:00+05:30,23639.65,23914.65,23596.041432224483,23826.5,23833.82,True,275.0,316.45,31.9,EOD_EXIT,38101,38136,TP=23834 RR=4.45 space=209pts opp_str=68 no_align
long,B,2024-12-04 09:35:00+05:30,2024-12-04 11:55:00+05:30,24543.05,24513.69325147159,24513.69325147159,24513.69325147159,24783.58,False,-29.36,30.15,176.75,STOP_LOSS,38671,38699,TP=24784 RR=8.19 space=256pts opp_str=65 SUP@24503(str=67)
