direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason
short,C,2026-03-06 09:55:00+05:30,2026-03-06 10:05:00+05:30,24625.150390625,24653.599609375,24646.700024487112,24646.700024487112,False,-28.45,8.2,35.95,0.0,STOP_LOSS
short,C,2026-03-06 10:55:00+05:30,2026-03-06 11:00:00+05:30,24594.650390625,24635.69921875,24609.418496050966,24609.418496050966,False,-41.05,0.0,42.2,0.0,STOP_LOSS
short,B,2026-03-06 11:25:00+05:30,2026-03-06 11:30:00+05:30,24607.25,24620.44921875,24619.82074912289,24619.82074912289,False,-13.2,4.7,13.6,0.0,STOP_LOSS
short,C,2026-03-09 09:30:00+05:30,2026-03-09 10:50:00+05:30,23764.400390625,23851.44921875,23815.55854626385,23815.55854626385,False,-87.05,52.55,97.95,25.7,STOP_LOSS
short,C,2026-03-09 10:50:00+05:30,2026-03-09 11:30:00+05:30,23851.44921875,23882.150390625,23877.8700929544,23877.8700929544,False,-30.7,67.0,44.55,32.85,STOP_LOSS
long,C,2026-03-10 09:30:00+05:30,2026-03-10 10:20:00+05:30,24124.44921875,24169.0,24073.009492378143,24175.876652601655,True,44.55,89.25,44.5,80.1,TRAIL_SL
long,C,2026-03-10 10:30:00+05:30,2026-03-10 11:45:00+05:30,24200.30078125,24208.19921875,24161.367725703407,24236.532815590257,True,7.9,55.0,26.35,51.75,TRAIL_SL
short,C,2026-03-11 09:40:00+05:30,2026-03-11 10:55:00+05:30,24187.650390625,24102.94921875,24206.467501930932,24092.52431185912,True,84.7,138.25,19.85,113.55,TRAIL_SL
short,B,2026-03-11 10:55:00+05:30,2026-03-11 11:25:00+05:30,24102.94921875,24033.55078125,24117.93629829046,24028.44858983671,True,69.4,92.8,11.15,92.35,TRAIL_SL
short,C,2026-03-12 09:30:00+05:30,2026-03-12 09:45:00+05:30,23592.650390625,23623.150390625,23619.699433440615,23619.699433440615,False,-30.5,23.25,31.9,19.8,STOP_LOSS
short,B,2026-03-12 10:00:00+05:30,2026-03-12 10:35:00+05:30,23677.849609375,23712.94921875,23699.932503120464,23699.932503120464,False,-35.1,87.95,41.6,67.7,STOP_LOSS
short,B,2026-03-12 10:45:00+05:30,2026-03-12 10:55:00+05:30,23694.0,23740.900390625,23714.12590026489,23714.12590026489,False,-46.9,24.7,47.6,0.0,STOP_LOSS
short,C,2026-03-13 09:30:00+05:30,2026-03-13 10:25:00+05:30,23453.900390625,23353.44921875,23480.610374537242,23334.076060447736,True,100.45,147.4,20.55,142.05,TRAIL_SL
short,B,2026-03-13 10:25:00+05:30,2026-03-13 11:25:00+05:30,23353.44921875,23377.349609375,23372.708296260866,23372.708296260866,False,-23.9,44.15,26.1,31.8,STOP_LOSS
