bar_open,bar_close,direction,signal_type,confidence,entry,stop,target_1,target_2,target_3,exit_price,exit_reason,r_multiple,size,t1_hit,t2_hit
53005,53005,long,failed_breakout,0.5,24871.85,24836.0817,24907.6183,24877.53,24873.85,24836.0817,stop,-1.0,52.0,False,False
53155,53158,long,pullback,0.86,25009.2,25030.0677,25030.0677,25024.0092,30029.2792,25030.0677,stop,1.0,85.0,True,True
53215,53241,long,failed_breakout,0.6,25119.8,25096.2852,25143.3148,25121.96,25125.65,25096.2852,stop,-1.0,80.0,False,False
53297,53323,short,failure_test,0.61,25086.95,25146.3885,25027.5115,24968.0729,24908.6344,25146.3885,stop,-1.0,30.0,False,False
53459,53495,long,pullback,0.74,25324.85,25373.9908,25373.9908,25345.5669,30414.8669,25415.15,time_stop,1.838,34.0,True,True
53531,53532,short,failure_test,0.63,25344.85,25373.8597,25315.8403,25286.8307,25257.821,25373.8597,stop,-1.0,63.0,False,False
53591,53595,long,failure_test,0.64,25335.95,25335.95,25352.4284,25368.9069,25385.3853,25335.95,stop,0.0,106.0,True,False
53596,53615,short,failure_test,0.59,25342.35,25342.35,25306.496,25270.6421,25234.7881,25342.35,stop,0.0,49.0,True,False
53616,53616,long,breakout,0.9,25238.1,25226.6702,25249.5298,25275.8249,25296.8561,25226.6702,stop,-1.0,154.0,False,False
53651,53658,long,failed_breakout,0.6,25284.85,25309.7277,25309.7277,25301.635,25313.95,25309.7277,stop,1.0,67.0,True,True
53669,53672,long,failure_test,0.83,25278.85,25258.1164,25299.5836,25320.3171,25341.0507,25258.1164,stop,-1.0,84.0,False,False
53769,53805,short,failure_test,0.53,25072.3,25144.1522,25000.4478,24928.5955,24856.7433,25101.25,time_stop,-0.403,23.0,False,False
53826,53830,short,failure_test,0.64,25100.6,25100.6,25081.3269,25062.0538,25042.7807,25100.6,stop,0.0,84.0,True,False
53851,53873,short,pullback,0.59,25040.45,24978.4375,24978.4375,25008.0464,20007.2664,24978.4375,stop,1.0,26.0,True,True
53954,53990,short,pb_after_breakout,0.75,24778.7,25012.8205,24544.5795,24761.1646,24752.3968,24673.1,time_stop,0.451,7.0,False,False
54096,54132,short,pb_after_breakout,0.75,24642.45,24742.2658,24542.6342,24638.4613,24636.4669,24626.6,time_stop,0.159,17.0,False,False
54158,54165,short,failure_test,0.87,24670.45,24705.1595,24635.7405,24601.031,24566.3215,24705.1595,stop,-1.0,50.0,False,False
54171,54207,long,failure_test,0.8,24776.05,24776.05,24820.4033,24864.7567,24909.11,24864.6,time_stop,1.996,37.0,True,False
54318,54322,long,failure_test,0.77,25011.65,24988.3092,25034.9908,25058.3315,25081.6723,24988.3092,stop,-1.0,79.0,False,False
54323,54324,short,failure_test,0.59,24987.0,25004.888,24969.112,24951.2241,24933.3361,25004.888,stop,-1.0,97.0,False,False
54328,54341,long,failure_test,0.79,25009.25,25027.8449,25027.8449,25046.4398,25065.0348,25065.0348,target_3,3.0,89.0,True,True
54367,54371,short,failed_breakout,0.5,25083.7,25147.244,25020.156,25050.3,25031.25,25147.244,stop,-1.0,30.0,False,False
54522,54537,short,failure_test,0.78,25067.8,25112.2475,25023.3525,24978.905,24934.4574,25112.2475,stop,-1.0,40.0,False,False
54763,54767,short,pullback,0.52,25192.2,25136.4937,25136.4937,25166.8661,20133.9161,25136.4937,stop,1.0,31.0,True,True
54788,54792,short,failure_test,0.74,25075.05,25122.8864,25027.2136,24979.3771,24931.5407,25122.8864,stop,-1.0,37.0,False,False
54793,54814,long,failure_test,0.76,25128.85,25128.85,25166.1058,25203.3616,25240.6174,25128.85,stop,0.0,46.0,True,False
55185,55185,long,pullback,0.65,25988.85,25982.0699,25995.6301,26100.9443,31321.7843,25982.0699,stop,-1.0,254.0,False,False
55190,55197,long,pullback,0.58,25946.15,25946.15,25995.8749,26101.2643,31322.1043,25946.15,stop,0.0,33.0,True,False
55208,55217,long,failed_breakout,0.45,25913.2,25822.5407,26003.8593,25955.685,25995.75,25822.5407,stop,-1.0,18.0,False,False
55583,55587,long,failure_test,0.66,25942.15,25898.1755,25986.1245,26030.099,26074.0736,25898.1755,stop,-1.0,35.0,False,False
55588,55624,short,failure_test,0.67,25889.55,25838.823,25838.823,25788.096,25737.369,25813.05,time_stop,1.508,29.0,True,True
55695,55710,long,failed_breakout,0.65,25732.5,25777.237,25777.237,25742.885,25758.2,25758.2,target_3,0.574,35.0,True,True
55721,55731,long,pullback,0.52,25757.75,25719.9488,25795.5512,25768.3711,30922.5311,25719.9488,stop,-1.0,43.0,False,False
55732,55768,short,failure_test,0.73,25703.8,25703.8,25665.4522,25627.1044,25588.7566,25670.05,time_stop,0.88,40.0,True,False
56154,56161,short,failed_breakout,0.5,25915.85,25895.943,25895.943,25897.86,25886.4,25886.4,target_3,1.479,81.0,True,True
56182,56193,short,failed_breakout,0.55,25848.25,25915.6223,25780.8777,25819.145,25827.8,25915.6223,stop,-1.0,25.0,False,False
56194,56218,long,failure_test,0.76,25925.4,25955.3598,25955.3598,25985.3196,26015.2794,25955.3598,stop,1.0,55.0,True,True
56219,56223,short,failure_test,0.8,25950.25,25973.008,25927.492,25904.7339,25881.9759,25973.008,stop,-1.0,76.0,False,False
56229,56231,short,failure_test,0.73,25981.35,25998.9018,25963.7982,25946.2465,25928.6947,25998.9018,stop,-1.0,94.0,False,False
56234,56235,short,failure_test,0.75,25975.85,25956.6934,25956.6934,25937.5369,25918.3803,25918.3803,target_3,3.0,82.0,True,True
56239,56245,long,failure_test,0.77,25917.3,25885.2636,25949.3364,25981.3728,26013.4092,25885.2636,stop,-1.0,56.0,False,False
56251,56253,long,failure_test,0.66,25873.5,25851.1435,25895.8565,25918.2131,25940.5696,25851.1435,stop,-1.0,76.0,False,False
56316,56322,long,failed_breakout,0.55,25783.8,25836.2865,25836.2865,25798.04,25820.0,25820.0,target_3,0.69,31.0,True,True
56323,56359,long,failure_test,0.73,25887.55,25754.2743,26020.8257,26154.1014,26287.3772,25956.0,time_stop,0.514,12.0,False,False
56360,56374,long,failure_test,0.79,25955.7,25974.6194,25974.6194,25993.5388,26012.4583,25974.6194,stop,1.0,91.0,True,True
56380,56382,short,failure_test,0.74,25979.95,25998.0791,25961.8209,25943.6918,25925.5627,25998.0791,stop,-1.0,100.0,False,False
56405,56441,short,failure_test,0.72,25959.15,26064.2986,25854.0014,25748.8528,25643.7042,25953.0,time_stop,0.058,16.0,False,False
56462,56476,short,failure_test,0.82,25976.05,25945.6386,25945.6386,25915.2271,25884.8157,25884.8157,target_3,3.0,56.0,True,True
56477,56479,short,failure_test,0.76,25898.15,25898.15,25859.6632,25821.1764,25782.6896,25898.15,stop,0.0,51.0,True,False
56697,56703,short,failure_test,0.58,26071.05,26102.3555,26039.7445,26008.439,25977.1336,26102.3555,stop,-1.0,63.0,False,False
56709,56745,short,pullback,0.47,26076.2,26170.9951,25981.4049,26075.1415,20860.9515,26085.3,time_stop,-0.096,19.0,False,False
56801,56815,long,failure_test,0.82,25936.85,25956.5808,25956.5808,25976.3116,25996.0424,25956.5808,stop,1.0,95.0,True,True
56826,56839,long,failure_test,0.86,25990.0,25990.0,26028.5723,26067.1447,26105.717,25990.0,stop,0.0,51.0,True,False
56845,56845,long,failure_test,0.85,25959.25,25929.176,25989.324,26019.398,26049.4721,25929.176,stop,-1.0,65.0,False,False
56850,56853,short,failure_test,0.54,25886.05,25945.5464,25826.5536,25767.0571,25707.5607,25945.5464,stop,-1.0,31.0,False,False
56860,56896,long,failed_breakout,0.65,26048.3,25828.5758,26268.0242,26160.065,26130.65,26165.65,time_stop,0.534,8.0,False,False
56972,56975,long,failed_breakout,0.6,26241.85,26207.9145,26275.7855,26261.73,26275.5,26207.9145,stop,-1.0,53.0,False,False
56982,56983,short,failure_test,0.66,26148.25,26175.9706,26120.5294,26092.8087,26065.0881,26175.9706,stop,-1.0,62.0,False,False
