direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
long,B,2025-03-20 13:15:00+05:30,2025-03-20 15:00:00+05:30,23156.3,23192.5,23134.760783246857,23186.5,23375.4,True,36.2,60.4,3.65,EOD_EXIT,188480,188501,TP=23375 RR=10.17 space=234pts opp_str=67 SUP@23125(str=65)
long,B,2025-03-21 09:35:00+05:30,2025-03-21 13:15:00+05:30,23247.5,23368.05,23212.478458263973,23368.05,23375.4,True,120.55,155.2,8.0,TRAIL_SL,188511,188555,TP=23375 RR=3.65 space=143pts opp_str=67 no_align
short,B,2025-03-26 13:15:00+05:30,2025-03-26 15:00:00+05:30,23545.0,23489.7,23562.418872562455,23498.35,23405.4,False,55.3,93.3,30.95,EOD_EXIT,188780,188801,TP=23405 RR=8.01 space=155pts opp_str=67 no_align
short,B,2025-04-07 09:35:00+05:30,2025-04-07 09:45:00+05:30,22036.05,22006.55,22152.431734000485,22006.55,21686.90479799854,False,29.5,76.3,18.3,STOP_LOSS,189261,189263,TP=21687 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-04-07 09:45:00+05:30,2025-04-07 10:25:00+05:30,22022.7,21960.5,22124.544946871476,21960.5,21717.165159385575,True,62.2,124.4,27.95,TRAIL_SL,189263,189271,TP=21717 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-04-07 12:00:00+05:30,2025-04-07 12:40:00+05:30,21938.1,21867.5,21968.488491716118,21867.5,21846.934524851637,True,70.6,141.2,8.65,TRAIL_SL,189290,189298,TP=21847 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-04-09 09:35:00+05:30,2025-04-09 09:40:00+05:30,22391.35,22433.45020069474,22433.45020069474,22433.45020069474,22265.04939791577,False,-42.1,17.3,76.5,STOP_LOSS,189411,189412,TP=22265 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2025-04-11 14:15:00+05:30,2025-04-11 14:40:00+05:30,22780.65,22800.189145000364,22800.189145000364,22800.189145000364,22543.57,False,-19.54,18.65,25.15,STOP_LOSS,189542,189547,TP=22544 RR=12.13 space=252pts opp_str=67 SUP@22819(str=68)
long,B,2025-04-16 14:15:00+05:30,2025-04-16 15:00:00+05:30,23421.35,23437.55,23391.408470525545,23391.408470525545,23515.7,False,16.2,16.2,25.65,EOD_EXIT,189692,189701,TP=23516 RR=3.15 space=109pts opp_str=72 no_align
long,B,2025-04-17 11:35:00+05:30,2025-04-17 14:20:00+05:30,23558.0,23822.55,23519.036101570007,23822.55,23674.89169528998,True,264.55,313.6,6.45,TRAIL_SL,189735,189768,TP=23675 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@23531(str=72)
