bar_index,time,open,high,low,close,candle_range,avg_range_lookback,range_std_dev,min_range_window,max_range_window,compression_ratio,compression_pct,atr,atr_pct_of_close,body_ratio,wick_ratio,candle_direction,zone_type,zone_score,is_progressive_squeeze,prior_trend,price_vs_sma20,resistance_level,support_level,range_above_support,range_below_resist,volume_ratio_vs_avg,candles_to_breakout,breakout_direction,breakout_magnitude,max_move_next_5,max_move_next_10
4741,06-03-2025 10:35,22357.15,22368.7,22351.45,22363.95,17.25,43.195,17.9298,21.95,82.75,0.3994,39.9%,37.4423,0.17%,0.394,0.606,Bullish,Strong Contraction,64.4,True,Uptrend,Above SMA20,22377.8,22245.85,118.1,13.85,N/A,3,Upside Breakout,0.7,23.45,91.6
4745,06-03-2025 10:55,22367.8,22375.3,22361.4,22366.3,13.9,30.8,13.1696,14.9,55.45,0.4513,45.1%,28.7473,0.13%,0.108,0.892,Bearish,Moderate Contraction,40.6,False,Uptrend,Above SMA20,22378.5,22309.35,56.95,12.2,N/A,1,Upside Breakout,8.9,89.25,89.25
4753,06-03-2025 11:35,22353.05,22371.85,22352.8,22368.1,19.05,35.57,20.2345,13.9,69.2,0.5356,53.6%,35.8585,0.16%,0.79,0.21,Bullish,Moderate Contraction,48.7,True,Uptrend,Above SMA20,22455.55,22319.95,48.15,87.45,N/A,13,Upside Breakout,6.65,57.5,69.65
4757,06-03-2025 11:55,22406.7,22410.55,22388.15,22399.65,22.4,36.445,19.0509,19.05,69.2,0.6146,61.5%,30.6583,0.14%,0.315,0.685,Bearish,Mild Contraction,24.7,False,Downtrend,Above SMA20,22455.55,22319.95,79.7,55.9,N/A,9,Upside Breakout,6.65,38.1,62.55
4760,06-03-2025 12:10,22403.55,22413.1,22398.4,22412.45,14.7,32.145,15.3319,19.05,61.7,0.4573,45.7%,27.4502,0.12%,0.605,0.395,Bullish,Moderate Contraction,39.6,False,Uptrend,Above SMA20,22427.0,22319.95,92.5,14.55,N/A,2,Upside Breakout,10.75,35.35,73.45
4763,06-03-2025 12:25,22428.45,22436.55,22424.95,22428.5,11.6,22.33,4.1733,14.7,27.5,0.5195,51.9%,24.08,0.11%,0.004,0.996,Bullish,Moderate Contraction,43.2,False,Uptrend,Above SMA20,22437.75,22352.8,75.7,9.25,N/A,1,Upside Breakout,10.05,57.4,57.4
4772,06-03-2025 13:10,22478.4,22478.65,22463.1,22466.15,15.55,22.6,7.0937,11.6,38.2,0.6881,68.8%,22.4567,0.1%,0.788,0.212,Bearish,Mild Contraction,18.5,False,Uptrend,Above SMA20,22485.9,22412.25,53.9,19.75,N/A,5,Upside Breakout,5.45,25.2,58.85
4775,06-03-2025 13:25,22478.4,22478.4,22464.3,22467.25,14.1,22.375,6.9258,15.55,38.2,0.6302,63.0%,21.6727,0.1%,0.791,0.209,Bearish,Moderate Contraction,30.0,False,Uptrend,Above SMA20,22485.9,22424.5,42.75,18.65,N/A,2,Upside Breakout,5.45,52.0,61.7
4783,06-03-2025 14:05,22515.8,22519.8,22506.4,22515.5,13.4,20.225,4.4707,14.1,30.0,0.6625,66.3%,19.7404,0.09%,0.022,0.978,Bearish,Moderate Contraction,49.8,True,Uptrend,Above SMA20,22525.0,22451.55,63.95,9.5,N/A,1,Upside Breakout,3.95,24.35,40.35
4786,06-03-2025 14:20,22506.2,22514.2,22501.0,22506.2,13.2,19.355,3.8352,13.4,24.8,0.682,68.2%,18.7406,0.08%,0.0,1.0,Bullish,Mild Contraction,29.1,False,Uptrend,Above SMA20,22528.95,22458.25,47.95,22.75,N/A,4,Upside Breakout,14.7,44.1,50.25
4789,06-03-2025 14:35,22521.15,22525.0,22516.45,22523.95,8.55,20.4,5.9472,13.2,32.45,0.4191,41.9%,19.3125,0.09%,0.327,0.673,Bullish,Moderate Contraction,46.0,False,Uptrend,Above SMA20,22528.95,22484.4,39.55,5.0,N/A,1,Upside Breakout,14.7,32.5,32.5
4795,06-03-2025 15:05,22550.7,22553.3,22539.45,22543.0,13.85,20.865,7.7029,8.55,32.45,0.6638,66.4%,20.5838,0.09%,0.556,0.444,Bearish,Mild Contraction,18.0,False,Uptrend,Above SMA20,22556.45,22491.15,51.85,13.45,N/A,5,Upside Breakout,16.4,78.25,78.25
4798,06-03-2025 15:20,22544.8,22549.95,22537.25,22543.4,12.7,20.295,8.0122,8.55,32.45,0.6258,62.6%,18.275,0.08%,0.11,0.89,Bearish,Mild Contraction,21.9,False,Uptrend,Above SMA20,22556.45,22491.15,52.25,13.05,N/A,2,Upside Breakout,16.4,78.65,78.65
4808,07-03-2025 09:55,22534.05,22549.0,22524.65,22548.7,24.35,47.125,28.456,12.7,108.1,0.5167,51.7%,37.784,0.17%,0.602,0.398,Bullish,Mild Contraction,27.7,False,Uptrend,Above SMA20,22572.85,22464.75,83.95,24.15,N/A,1,Upside Breakout,0.65,76.8,76.8
4811,07-03-2025 10:10,22585.25,22606.4,22579.4,22605.7,27.0,41.815,16.5434,24.35,78.65,0.6457,64.6%,35.5484,0.16%,0.757,0.243,Bullish,Mild Contraction,24.5,False,Uptrend,Above SMA20,22589.35,22470.8,134.9,-16.35,N/A,1,Upside Breakout,36.15,27.9,37.85
4814,07-03-2025 10:25,22585.6,22598.8,22577.8,22596.25,21.0,35.435,16.0276,21.5,78.65,0.5926,59.3%,31.4115,0.14%,0.507,0.493,Bullish,Moderate Contraction,30.6,False,Uptrend,Above SMA20,22625.5,22470.8,125.45,29.25,N/A,10,Upside Breakout,8.3,28.05,37.55
4817,07-03-2025 10:40,22597.2,22605.6,22590.6,22591.1,15.0,27.19,6.4263,20.0,38.15,0.5517,55.2%,27.1277,0.12%,0.407,0.593,Bearish,Moderate Contraction,38.0,False,Uptrend,Above SMA20,22625.5,22504.15,86.95,34.4,N/A,7,Upside Breakout,8.3,24.9,42.7
4820,07-03-2025 10:55,22570.8,22584.45,22570.1,22570.45,14.35,26.86,8.95,15.0,45.85,0.5343,53.4%,28.0654,0.12%,0.024,0.976,Bearish,Moderate Contraction,36.5,False,Downtrend,Above SMA20,22625.5,22554.8,15.65,55.05,N/A,4,Upside Breakout,8.3,63.35,63.35
4825,07-03-2025 11:20,22618.75,22625.4,22613.9,22619.75,11.5,23.705,9.6261,14.0,45.85,0.4851,48.5%,23.6423,0.1%,0.087,0.913,Bullish,Moderate Contraction,38.6,False,Uptrend,Above SMA20,22633.8,22567.85,51.9,14.05,N/A,5,Downside Breakdown,19.6,71.5,103.65
4832,07-03-2025 11:55,22564.45,22573.35,22559.35,22562.5,14.0,20.89,11.9086,10.3,51.9,0.6702,67.0%,22.5386,0.1%,0.139,0.861,Bearish,Mild Contraction,17.6,False,Downtrend,Below SMA20,22633.8,22548.25,14.25,71.3,N/A,1,Downside Breakdown,22.05,53.45,53.45
4841,07-03-2025 12:40,22570.5,22578.0,22564.45,22577.0,13.55,21.23,8.0366,11.1,38.3,0.6382,63.8%,21.5696,0.1%,0.48,0.52,Bullish,Mild Contraction,23.5,False,Uptrend,Above SMA20,22583.3,22509.05,67.95,6.3,N/A,,,,43.55,46.7
4846,07-03-2025 13:05,22543.55,22555.25,22541.95,22546.15,13.3,22.9,5.2774,13.55,30.8,0.5808,58.1%,21.6837,0.1%,0.195,0.805,Bullish,Moderate Contraction,35.9,False,Uptrend,Below SMA20,22583.3,22509.05,37.1,37.15,N/A,17,Upside Breakout,8.4,26.5,29.85
4849,07-03-2025 13:20,22561.55,22565.5,22555.95,22561.0,9.55,21.615,6.0824,13.3,30.8,0.4418,44.2%,19.4188,0.09%,0.058,0.942,Bearish,Moderate Contraction,44.7,False,Downtrend,Above SMA20,22583.3,22530.3,30.7,22.3,N/A,6,Downside Breakdown,1.95,15.0,38.3
4854,07-03-2025 13:45,22567.15,22569.0,22558.8,22563.4,10.2,17.955,5.8178,9.55,30.8,0.5681,56.8%,17.1476,0.08%,0.368,0.632,Bearish,Moderate Contraction,32.7,False,Uptrend,Above SMA20,22576.0,22530.3,33.1,12.6,N/A,1,Downside Breakdown,1.95,40.7,40.7
4858,07-03-2025 14:05,22545.55,22552.3,22540.95,22549.4,11.35,18.065,7.0802,9.55,34.65,0.6283,62.8%,18.3469,0.08%,0.339,0.661,Bullish,Moderate Contraction,44.6,True,Downtrend,Below SMA20,22576.0,22522.7,26.7,26.6,N/A,4,Upside Breakout,2.8,42.3,57.2
4861,07-03-2025 14:20,22567.35,22573.95,22562.35,22567.6,11.6,17.53,6.9579,10.2,34.65,0.6617,66.2%,17.1595,0.08%,0.022,0.978,Bullish,Mild Contraction,22.6,False,Uptrend,Above SMA20,22576.0,22522.7,44.9,8.4,N/A,1,Upside Breakout,2.8,39.0,40.05
4871,07-03-2025 15:10,22564.2,22569.6,22556.65,22556.85,12.95,20.475,8.5204,11.6,41.55,0.6325,63.2%,19.7869,0.09%,0.568,0.432,Bearish,Mild Contraction,25.2,False,Downtrend,Below SMA20,22607.65,22557.95,-1.1,50.8,N/A,1,Downside Breakdown,22.0,58.2,104.95
