direction,entry_time,exit_time,entry_price,exit_price,vwap_at_entry,price_vs_vwap,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
long,2025-05-05 10:20:00+05:30,2025-05-05 11:45:00+05:30,24477.05,24438.34482472569,24461.38,15.67,24438.34482472569,24438.34482472569,False,-38.71,49.35,47.85,STOP_LOSS
short,2025-05-07 10:20:00+05:30,2025-05-07 11:15:00+05:30,24348.35,24380.450752173296,24358.0,-9.65,24380.450752173296,24380.450752173296,False,-32.1,23.6,51.85,STOP_LOSS
short,2025-05-08 14:20:00+05:30,2025-05-08 15:00:00+05:30,24337.55,24277.824628341743,24386.78,-49.23,24352.679662312923,24277.824628341743,True,59.73,93.55,19.75,TRAIL_SL
long,2025-05-12 14:35:00+05:30,2025-05-12 15:05:00+05:30,24866.15,24907.40819562311,24741.03,125.12,24841.565629944333,24907.40819562311,True,41.26,64.25,11.4,TRAIL_SL
short,2025-05-13 10:15:00+05:30,2025-05-13 10:40:00+05:30,24751.7,24696.423056225933,24764.65,-12.95,24798.02490866002,24696.423056225933,True,55.28,116.8,20.75,TRAIL_SL
short,2025-05-13 14:20:00+05:30,2025-05-13 15:00:00+05:30,24595.9,24574.85,24698.16,-102.26,24616.88127955398,24616.88127955398,False,21.05,21.65,40.95,SOFT_EOD_EXIT
long,2025-05-14 10:25:00+05:30,2025-05-14 10:55:00+05:30,24744.65,24710.55800797602,24720.06,24.59,24710.55800797602,24710.55800797602,False,-34.09,2.5,61.2,STOP_LOSS
short,2025-05-15 10:10:00+05:30,2025-05-15 10:30:00+05:30,24561.7,24591.424907307817,24573.65,-11.95,24591.424907307817,24591.424907307817,False,-29.72,28.5,65.55,STOP_LOSS
long,2025-05-15 14:30:00+05:30,2025-05-15 15:00:00+05:30,25058.25,25079.85,24738.01,320.24,25005.570475840705,25005.570475840705,False,21.6,31.8,18.25,SOFT_EOD_EXIT
short,2025-05-19 14:15:00+05:30,2025-05-19 15:00:00+05:30,24958.7,24948.65,25006.85,-48.15,24973.076427509484,24973.076427509484,False,10.05,42.05,1.85,SOFT_EOD_EXIT
short,2025-05-20 10:10:00+05:30,2025-05-20 10:35:00+05:30,24899.4,24920.26796955756,24921.46,-22.06,24920.26796955756,24920.26796955756,False,-20.87,20.4,32.6,STOP_LOSS
short,2025-05-22 14:35:00+05:30,2025-05-22 14:40:00+05:30,24500.8,24518.247671529356,24565.55,-64.75,24518.247671529356,24518.247671529356,False,-17.45,0.0,76.75,STOP_LOSS
short,2025-05-27 14:30:00+05:30,2025-05-27 14:45:00+05:30,24757.4,24781.644128262687,24836.82,-79.42,24781.644128262687,24781.644128262687,False,-24.24,12.2,39.8,STOP_LOSS
short,2025-06-03 10:05:00+05:30,2025-06-03 10:15:00+05:30,24649.75,24677.001357237885,24658.94,-9.19,24677.001357237885,24677.001357237885,False,-27.25,4.55,55.75,STOP_LOSS
long,2025-06-05 10:10:00+05:30,2025-06-05 10:45:00+05:30,24732.25,24706.7498498261,24723.38,8.87,24706.7498498261,24706.7498498261,False,-25.5,8.9,30.45,STOP_LOSS
short,2025-06-05 14:25:00+05:30,2025-06-05 14:40:00+05:30,24729.85,24749.966437182917,24748.09,-18.24,24749.966437182917,24749.966437182917,False,-20.12,16.95,34.6,STOP_LOSS
short,2025-06-06 09:55:00+05:30,2025-06-06 10:05:00+05:30,24712.3,24728.49368816143,24715.9,-3.6,24728.49368816143,24728.49368816143,False,-16.19,40.85,104.8,STOP_LOSS
long,2025-06-06 14:30:00+05:30,2025-06-06 15:00:00+05:30,25002.45,24996.5,24919.82,82.63,24982.942202963364,24982.942202963364,False,-5.95,10.95,19.25,SOFT_EOD_EXIT
long,2025-06-10 10:20:00+05:30,2025-06-10 10:50:00+05:30,25145.25,25120.43066924069,25131.86,13.39,25120.43066924069,25120.43066924069,False,-24.82,8.55,40.0,STOP_LOSS
short,2025-06-11 14:15:00+05:30,2025-06-11 15:00:00+05:30,25138.55,25146.4,25170.78,-32.23,25152.307156596373,25152.307156596373,False,-7.85,7.95,19.05,SOFT_EOD_EXIT
short,2025-06-12 10:25:00+05:30,2025-06-12 12:10:00+05:30,25103.8,25034.99409858206,25122.39,-18.59,25121.444386416104,25034.99409858206,True,68.81,94.45,11.95,TRAIL_SL
short,2025-06-12 14:40:00+05:30,2025-06-12 15:00:00+05:30,24891.7,24905.5,25028.7,-137.0,24917.460418103437,24917.460418103437,False,-13.8,6.75,29.25,SOFT_EOD_EXIT
long,2025-06-16 14:20:00+05:30,2025-06-16 14:35:00+05:30,24948.6,24932.196433575922,24879.54,69.06,24932.196433575922,24932.196433575922,False,-16.4,6.15,20.1,STOP_LOSS
short,2025-06-17 10:25:00+05:30,2025-06-17 10:30:00+05:30,24872.25,24888.491787045776,24878.0,-5.75,24888.491787045776,24888.491787045776,False,-16.24,3.95,19.55,STOP_LOSS
short,2025-06-24 14:30:00+05:30,2025-06-24 15:00:00+05:30,25054.6,25027.35,25195.89,-141.29,25085.17924509743,25085.17924509743,False,27.25,39.1,22.45,SOFT_EOD_EXIT
long,2025-06-26 10:15:00+05:30,2025-06-26 10:40:00+05:30,25380.5,25347.39187932628,25368.2,12.3,25347.39187932628,25347.39187932628,False,-33.11,7.05,76.45,STOP_LOSS
long,2025-06-26 14:35:00+05:30,2025-06-26 15:10:00+05:30,25503.15,25544.85765104015,25391.97,111.18,25473.31516211518,25544.85765104015,True,41.71,62.15,22.8,TRAIL_SL
short,2025-06-30 10:10:00+05:30,2025-06-30 13:30:00+05:30,25586.4,25510.939145577006,25592.52,-6.12,25604.92367592031,25510.939145577006,True,75.46,95.9,13.6,TRAIL_SL
short,2025-06-30 14:20:00+05:30,2025-06-30 15:00:00+05:30,25497.65,25509.586296001315,25550.47,-52.82,25509.586296001315,25509.586296001315,False,-11.94,20.05,22.15,STOP_LOSS
short,2025-07-02 14:50:00+05:30,2025-07-02 14:55:00+05:30,25406.95,25419.020156731734,25476.92,-69.97,25419.020156731734,25419.020156731734,False,-12.07,0.6,24.05,STOP_LOSS
short,2025-07-04 09:30:00+05:30,2025-07-04 14:35:00+05:30,25406.75,25428.663481244686,25419.53,-12.78,25428.663481244686,25428.663481244686,False,-21.91,75.1,43.85,STOP_LOSS
long,2025-07-09 10:25:00+05:30,2025-07-09 13:00:00+05:30,25518.7,25499.589743262113,25503.13,15.57,25499.589743262113,25499.589743262113,False,-19.11,30.0,28.2,STOP_LOSS
