direction,entry_time,exit_time,entry_price,exit_price,sl_initial,sl_final,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
long,2025-08-25 09:35:00+05:30,2025-08-25 09:55:00+05:30,24966.25,24941.281499136672,24941.281499136672,24941.281499136672,False,-24.97,7.7,41.75,STOP_LOSS,13354,13358
short,2025-08-25 14:35:00+05:30,2025-08-25 14:50:00+05:30,24963.85,24974.705834554414,24974.705834554414,24974.705834554414,False,-10.86,6.75,17.25,STOP_LOSS,13414,13417
short,2025-09-02 13:15:00+05:30,2025-09-02 14:35:00+05:30,24707.3,24560.76539430467,24718.875993205274,24560.76539430467,True,146.53,184.95,0.0,TRAIL_SL,13773,13789
short,2025-09-05 10:10:00+05:30,2025-09-05 10:25:00+05:30,24679.35,24704.164093028267,24704.164093028267,24704.164093028267,False,-24.81,47.4,58.4,STOP_LOSS,13961,13964
short,2025-09-08 14:45:00+05:30,2025-09-08 14:50:00+05:30,24779.7,24798.92015911124,24798.92015911124,24798.92015911124,False,-19.22,0.0,34.3,STOP_LOSS,14091,14092
long,2025-09-11 12:15:00+05:30,2025-09-11 15:00:00+05:30,24997.45,25012.05,24984.761584876807,24984.761584876807,False,14.6,39.85,11.05,SOFT_EOD_EXIT,14286,14319
long,2025-09-16 09:30:00+05:30,2025-09-16 13:10:00+05:30,25127.65,25192.152134467666,25108.14303282469,25192.152134467666,True,64.5,75.35,2.55,TRAIL_SL,14478,14522
long,2025-09-16 14:35:00+05:30,2025-09-16 14:55:00+05:30,25228.75,25208.135613439707,25208.135613439707,25208.135613439707,False,-20.61,1.0,38.65,STOP_LOSS,14539,14543
short,2025-09-18 12:30:00+05:30,2025-09-18 15:00:00+05:30,25398.55,25406.877788788363,25406.877788788363,25406.877788788363,False,-8.33,68.8,23.5,STOP_LOSS,14664,14694
long,2025-09-19 13:10:00+05:30,2025-09-19 15:00:00+05:30,25330.65,25318.1,25315.8142504914,25315.8142504914,False,-12.55,29.75,14.9,SOFT_EOD_EXIT,14747,14769
