Date,Price,Open,High,Low,Vol.,Change %
10-12-2012,14.51,14.96,14.96,14.22,,-3.01%
11-12-2012,14.67,14.51,14.84,13.39,,1.10%
12-12-2012,14.51,14.67,14.67,13.4,,-1.09%
13-12-2012,14.71,14.51,14.86,13.29,,1.38%
14-12-2012,14.23,14.71,14.83,13.43,,-3.26%
17-12-2012,14.92,14.23,15.06,13.42,,4.85%
18-12-2012,14.44,14.92,14.92,14.07,,-3.22%
19-12-2012,14.47,14.44,14.64,13.28,,0.21%
20-12-2012,14.32,14.47,14.9,13.77,,-1.04%
21-12-2012,14.63,14.32,15.06,13.77,,2.16%
24-12-2012,14.49,14.63,15.15,14.15,,-0.96%
26-12-2012,14.1,14.49,14.98,14.03,,-2.69%
27-12-2012,13.74,14.1,14.34,13.62,,-2.55%
28-12-2012,13.63,13.74,13.83,13.46,,-0.80%
31-12-2012,14.95,13.63,14.97,13.63,,9.68%
01-01-2013,13.69,14.95,14.95,13.64,,-8.43%
02-01-2013,13.71,13.69,13.91,12.99,,0.15%
03-01-2013,13.47,13.71,13.94,13.22,,-1.75%
04-01-2013,13.37,13.47,13.63,13.28,,-0.74%
07-01-2013,13.92,13.37,14.04,13.37,,4.11%
08-01-2013,13.27,13.92,14.06,13.21,,-4.67%
09-01-2013,13.32,13.27,13.56,12.58,,0.38%
10-01-2013,13.27,13.32,13.63,12.85,,-0.38%
11-01-2013,13.23,13.27,13.35,12.83,,-0.30%
14-01-2013,13.7,13.23,14.02,13.22,,3.55%
15-01-2013,13.58,13.7,14,13.34,,-0.88%
16-01-2013,13.99,13.58,14.14,13.06,,3.02%
17-01-2013,14.01,13.99,14.25,13.66,,0.14%
18-01-2013,13.89,14.01,14.26,13.25,,-0.86%
21-01-2013,13.66,13.89,14.39,13.63,,-1.66%
22-01-2013,13.89,13.66,14.06,12.9,,1.68%
23-01-2013,13.67,13.89,14.28,13.13,,-1.58%
24-01-2013,14.46,13.67,14.55,12.84,,5.78%
25-01-2013,14.77,14.46,14.98,14.32,,2.14%
28-01-2013,15.17,14.77,15.49,14.41,,2.71%
29-01-2013,14.47,15.17,15.28,14.28,,-4.61%
30-01-2013,14.38,14.47,14.68,14.05,,-0.62%
31-01-2013,14.13,14.38,14.54,13.65,,-1.74%
01-02-2013,13.76,14.13,14.18,13.76,,-2.62%
04-02-2013,14.34,13.76,14.62,13.51,,4.22%
05-02-2013,14.61,14.34,14.83,14.11,,1.88%
06-02-2013,14.26,14.61,14.61,14.1,,-2.40%
07-02-2013,14.89,14.26,14.89,13.56,,4.42%
08-02-2013,15.16,14.89,15.22,13.75,,1.81%
11-02-2013,15.65,15.16,15.74,14.96,,3.23%
12-02-2013,15.31,15.65,15.71,14.98,,-2.17%
13-02-2013,15.14,15.31,15.31,14.47,,-1.11%
14-02-2013,15.09,15.14,15.52,14.67,,-0.33%
15-02-2013,15.24,15.09,15.49,14.13,,0.99%
18-02-2013,16.29,15.24,16.61,15.24,,6.89%
19-02-2013,15.81,16.29,16.5,15.48,,-2.95%
20-02-2013,15.6,15.81,16.01,14.88,,-1.33%
